Sl No.,Service Type,Department,Service Name,Standard,Semi Private,Private,Private Deluxe,Deluxe,Suite,Maharaja Suite
17,Investigations,BioChemistry,(AHLL) ACETYLCHOLINE RECEPTOR (ACHR) ANTIBODY,"13,020","13,020","13,020","13,020","13,020","13,020","13,020"
18,Investigations,BioChemistry,(AHLL) NBS- GALACTOSEMIA,510,510,510,510,510,510,510
19,Investigations,BioChemistry,(AHLL) PROTEIN ELECTROPHORESIS - SPOT URINE,"1,020","1,020","1,020","1,020","1,020","1,020","1,020"
20,Investigations,BioChemistry,(AHLL) ACID PHOSPHATASE TOTAL (ACP),430,430,430,430,430,430,430
21,Investigations,BioChemistry,(AHLL) ACETONE/KETONE - SERUM,"1,390","1,390","1,390","1,390","1,390","1,390","1,390"
22,Investigations,BioChemistry,(AHLL) OLIGOCLONAL BANDS- (CSF),"4,800","4,800","4,800","4,800","4,800","4,800","4,800"
23,Investigations,BioChemistry,(AHLL) ALDOLASE SERUM,"1,250","1,250","1,250","1,250","1,250","1,250","1,250"
24,Investigations,BioChemistry,(AHLL) HAPTOGLOBIN,"3,540","3,540","3,540","3,540","3,540","3,540","3,540"
25,Investigations,BioChemistry,(AHLL) 17 HYDROXY CORTICOSTIROIDS,"6,940","6,940","6,940","6,940","6,940","6,940","6,940"
26,Investigations,BioChemistry,(AHLL) 17-ALPHA HYDROXYPROGESTERONE (NEONATAL SCREENING),460,460,460,460,460,460,460
27,Investigations,BioChemistry,(AHLL) 17-ALPHA- HYDROXYPROGESTERONE (17-OHP),"1,540","1,540","1,540","1,540","1,540","1,540","1,540"
28,Investigations,BioChemistry,(AHLL) DIHYDRO TESTOSTERONE(DHT),"4,710","4,710","4,710","4,710","4,710","4,710","4,710"
29,Investigations,BioChemistry,(AHLL) AMINOLEVOLINIC ACID- URINE 24 HRS,"5,900","5,900","5,900","5,900","5,900","5,900","5,900"
30,Investigations,BioChemistry,(AHLL) ALCOHOL-BLOOD,"2,000","2,000","2,000","2,000","2,000","2,000","2,000"
31,Investigations,BioChemistry,(AHLL) ALCOHOL/ETHANOL- URINE,"1,970","1,970","1,970","1,970","1,970","1,970","1,970"
32,Investigations,BioChemistry,(AHLL) ALKALINE PHOSPHATASE - SERUM,"1,420","1,420","1,420","1,420","1,420","1,420","1,420"
33,Investigations,BioChemistry,(AHLL) ALKALINE PHOSPHATASE ISOENZYME ELECTROPHORESIS- SERUM,"6,440","6,440","6,440","6,440","6,440","6,440","6,440"
34,Investigations,BioChemistry,(AHLL) ALKAPTONURIA-URINE,"1,220","1,220","1,220","1,220","1,220","1,220","1,220"
35,Investigations,BioChemistry,(AHLL) ALPHA - 1 - ANTITRYPSIN - SERUM,"5,510","5,510","5,510","5,510","5,510","5,510","5,510"
36,Investigations,BioChemistry,(AHLL) ALPHA-1 ANTITRYPSIN PHENOTYPE,"5,510","5,510","5,510","5,510","5,510","5,510","5,510"
37,Investigations,BioChemistry,"(AHLL) AMINO ACIDS QUALITATIVE, PLASMA","7,900","7,900","7,900","7,900","7,900","7,900","7,900"
38,Investigations,BioChemistry,(AHLL) AMINO ACID QUALITATIVE URINE GCMS,"8,840","8,840","8,840","8,840","8,840","8,840","8,840"
39,Investigations,BioChemistry,"(AHLL) AMINO ACIDS, PLASMA","16,740","16,740","16,740","16,740","16,740","16,740","16,740"
40,Investigations,BioChemistry,(AHLL) AMPHETAMINE- (SPOT URINE DOA),950,950,950,950,950,950,950
41,Investigations,BioChemistry,(AHLL) ANGIOTENSIN CONVERTING ENZYME (ACE),"1,140","1,140","1,140","1,140","1,140","1,140","1,140"
42,Investigations,BioChemistry,(AHLL) BNP - B- TYPE NATRIURETIC PEPTIDE,"3,300","3,300","3,300","3,300","3,300","3,300","3,300"
43,Investigations,BioChemistry,(AHLL) BETA-2 MICROGLOBULIN- SERUM,"1,650","1,650","1,650","1,650","1,650","1,650","1,650"
44,Investigations,BioChemistry,(AHLL) DRUG TEST - BARBITURATES,"3,320","3,320","3,320","3,320","3,320","3,320","3,320"
45,Investigations,BioChemistry,(AHLL) DRUG TEST - BENZODIAZEPINES,"1,140","1,140","1,140","1,140","1,140","1,140","1,140"
46,Investigations,BioChemistry,(AHLL) BIOTINIDASE QUANTITATIVE,"6,970","6,970","6,970","6,970","6,970","6,970","6,970"
47,Investigations,BioChemistry,(AHLL) NBS-BIOTINIDASE (BIOT),800,800,800,800,800,800,800
48,Investigations,BioChemistry,(AHLL) BIOTINIDASE (BIOT) > 1 MONTH,550,550,550,550,550,550,550
49,Investigations,BioChemistry,(AHLL) DRUG TEST - MARIJUANA/CANNABINOIDS,950,950,950,950,950,950,950
50,Investigations,BioChemistry,(AHLL) DRUGS OF ABUSE: CANNABINOIDS,"1,240","1,240","1,240","1,240","1,240","1,240","1,240"
51,Investigations,BioChemistry,"(AHLL) CATECHOLAMINES, PLASMA","9,810","9,810","9,810","9,810","9,810","9,810","9,810"
52,Investigations,BioChemistry,(AHLL) CATECHOLAMINES 24 HRS URINE,"4,790","4,790","4,790","4,790","4,790","4,790","4,790"
53,Investigations,BioChemistry,(AHLL) CHOLINESTERASE,"1,610","1,610","1,610","1,610","1,610","1,610","1,610"
54,Investigations,BioChemistry,(AHLL) CHROMOGRANIN - A,"7,410","7,410","7,410","7,410","7,410","7,410","7,410"
55,Investigations,BioChemistry,(AHLL) CITRATE 24 Hours Urine,"3,620","3,620","3,620","3,620","3,620","3,620","3,620"
56,Investigations,BioChemistry,(AHLL) DRUG TEST - COCAINE,"1,310","1,310","1,310","1,310","1,310","1,310","1,310"
57,Investigations,BioChemistry,"(SRL) COCAINE QUALITATIVE,EIA,RANDOM URINE",950,950,950,950,950,950,950
58,Investigations,BioChemistry,(AHLL) NBS COMPREHENSIVE (TMS+NBS+HB),"8,580","8,580","8,580","8,580","8,580","8,580","8,580"
59,Investigations,BioChemistry,(AHLL) COPPER 24 HRS URINE,"1,770","1,770","1,770","1,770","1,770","1,770","1,770"
60,Investigations,BioChemistry,(AHLL) COPPER - SERUM,"1,770","1,770","1,770","1,770","1,770","1,770","1,770"
61,Investigations,BioChemistry,(AHLL) ALPHA FETOPROTEIN (AFP)- CSF,"1,070","1,070","1,070","1,070","1,070","1,070","1,070"
62,Investigations,BioChemistry,(AHLL) TOTAL BETA HCG (TB-HCG)-CSF,980,980,980,980,980,980,980
63,Investigations,BioChemistry,(AHLL) IMMUNOGLOBULIN IGG SYNTHESIS INDEX,"3,080","3,080","3,080","3,080","3,080","3,080","3,080"
64,Investigations,BioChemistry,(AHLL) PYRUVATE - CSF,"2,790","2,790","2,790","2,790","2,790","2,790","2,790"
65,Investigations,BioChemistry,(AHLL) CYCLOSPORINE: C2 LEVEL - WHOLE BLOOD,"5,980","5,980","5,980","5,980","5,980","5,980","5,980"
66,Investigations,BioChemistry,(AHLL) CYCLOSPORINE LEVEL,"3,380","3,380","3,380","3,380","3,380","3,380","3,380"
67,Investigations,BioChemistry,(AHLL) NBS - CYSTIC FIBROSIS,680,680,680,680,680,680,680
68,Investigations,BioChemistry,(AHLL) ERYTHROPOIETIN (EPO),"2,060","2,060","2,060","2,060","2,060","2,060","2,060"
69,Investigations,BioChemistry,(AHLL) DRUG SCREEN [OPI/COC/AMP/THC] - URINE,"6,190","6,190","6,190","6,190","6,190","6,190","6,190"
70,Investigations,BioChemistry,(AHLL) FREE CORTISOL(24HRS) - URINE,"1,720","1,720","1,720","1,720","1,720","1,720","1,720"
71,Investigations,BioChemistry,(LALPATH) GALACTOSE PLASMA(G-116),"2,040","2,040","2,040","2,040","2,040","2,040","2,040"
72,Investigations,BioChemistry,"(AHLL) GALACTOSE-1PHOSPHATASE QUANTITIVE,BLOOD","2,540","2,540","2,540","2,540","2,540","2,540","2,540"
73,Investigations,BioChemistry,(AHLL) GALACTOSEMIA PANEL 3,"4,050","4,050","4,050","4,050","4,050","4,050","4,050"
74,Investigations,BioChemistry,(AHLL) GAUCHER DISEASE QUANTITATIVE,"2,370","2,370","2,370","2,370","2,370","2,370","2,370"
75,Investigations,BioChemistry,(AHLL) GLUCOSE-1-PHOPHATE URIDYL TRANSFERASE-NS,"1,970","1,970","1,970","1,970","1,970","1,970","1,970"
76,Investigations,BioChemistry,(AHLL) ANTI GAD 65 ANTIBODIES,"6,820","6,820","6,820","6,820","6,820","6,820","6,820"
77,Investigations,BioChemistry,(SRL) HCG TOTAL QUANTITATIVE URINE,630,630,630,630,630,630,630
78,Investigations,BioChemistry,(AHLL) MERCURY(Note:ARSENIC not mentioned),"12,870","12,870","12,870","12,870","12,870","12,870","12,870"
79,Investigations,BioChemistry,(AHLL) HISTAMINE,"7,080","7,080","7,080","7,080","7,080","7,080","7,080"
80,Investigations,BioChemistry,"(AHLL) HISTAMINE,24-HOUR URINE","15,760","15,760","15,760","15,760","15,760","15,760","15,760"
81,Investigations,BioChemistry,"(AHLL) HOMOVANILLIC ACID (HVA), 24 HOUR, URINE","12,510","12,510","12,510","12,510","12,510","12,510","12,510"
82,Investigations,BioChemistry,"(SRL) IEM PANEL 1(URINE ELECTRO,SERUM LACTATE)","3,140","3,140","3,140","3,140","3,140","3,140","3,140"
83,Investigations,BioChemistry,(ONCQUEST) IEM PANEL 4,"52,270","52,270","52,270","52,270","52,270","52,270","52,270"
84,Investigations,BioChemistry,"(SRL) IEM PANEL2(PLASMA ELECTRO,SERUM LACTATE)","1,550","1,550","1,550","1,550","1,550","1,550","1,550"
85,Investigations,BioChemistry,"(LALPATH) IEM PANEL3(IMD,ELECTROLYTE,SERUM LACTAT)","6,840","6,840","6,840","6,840","6,840","6,840","6,840"
86,Investigations,BioChemistry,(AHLL) IGF1 : INSULIN LIKE GROWTH FACTOR-SERUM,"3,990","3,990","3,990","3,990","3,990","3,990","3,990"
87,Investigations,BioChemistry,(AHLL) IGF- BP3 ( INSULIN GROWTH FACTOR - BINDING PROTEIN 3),"4,790","4,790","4,790","4,790","4,790","4,790","4,790"
88,Investigations,BioChemistry,(AHLL) IMMUNOREACTIVE TRYPSINOGEN (NEONATAL SCREENING),460,460,460,460,460,460,460
89,Investigations,BioChemistry,(AHLL) INHIBIN-A,"2,120","2,120","2,120","2,120","2,120","2,120","2,120"
90,Investigations,BioChemistry,"(AHLL) CALCIUM, IONIZED","1,650","1,650","1,650","1,650","1,650","1,650","1,650"
91,Investigations,BioChemistry,(AHLL) KIDNEY/RENAL STONE ANALYSIS,"1,020","1,020","1,020","1,020","1,020","1,020","1,020"
92,Investigations,BioChemistry,(SRL) KIDNEY STONE ANALYSIS,"1,100","1,100","1,100","1,100","1,100","1,100","1,100"
93,Investigations,BioChemistry,(AHLL) KIDNEY STONE ANALYSIS,"7,010","7,010","7,010","7,010","7,010","7,010","7,010"
94,Investigations,BioChemistry,(AHLL) LDH- ISOENZYMES BY ELECTROPHORESIS,"8,400","8,400","8,400","8,400","8,400","8,400","8,400"
95,Investigations,BioChemistry,(SRL) LEAD 24HR URINE,"1,730","1,730","1,730","1,730","1,730","1,730","1,730"
96,Investigations,BioChemistry,(AHLL) MAPLE SYRUP URINE DISORDERS (NEONATAL SCREENING),460,460,460,460,460,460,460
97,Investigations,BioChemistry,(AHLL) MATERNAL SCREENING SECOND TRIMESTER- QUADRUPLE MARKER,"4,260","4,260","4,260","4,260","4,260","4,260","4,260"
98,Investigations,BioChemistry,(AHLL) METABOLIC SCREEN COMPREHENSIVE URINE,"8,840","8,840","8,840","8,840","8,840","8,840","8,840"
99,Investigations,BioChemistry,(AHLL) Metanephrine 24 hour Urine,"5,160","5,160","5,160","5,160","5,160","5,160","5,160"
100,Investigations,BioChemistry,(AHLL) DRUG TEST - METHADONE,"5,160","5,160","5,160","5,160","5,160","5,160","5,160"
101,Investigations,BioChemistry,"(AHLL) MUCOPOLYSACCHARIDOSIS MPS SCREEN,URINE RANDOM",460,460,460,460,460,460,460
102,Investigations,BioChemistry,(LALPATH) MUCOPOLYSACCHARIDOSES TYPING URINE,"4,700","4,700","4,700","4,700","4,700","4,700","4,700"
103,Investigations,BioChemistry,(AHLL) NBS Mini Panel 1,"3,090","3,090","3,090","3,090","3,090","3,090","3,090"
104,Investigations,BioChemistry,"(AHLL) NBS Panel 2 (CH, CAH)","2,190","2,190","2,190","2,190","2,190","2,190","2,190"
105,Investigations,BioChemistry,"(AHLL) NBS Panel 4 (CH, CAH, G6PD, GALT)","1,080","1,080","1,080","1,080","1,080","1,080","1,080"
106,Investigations,BioChemistry,(AHLL) NIEMANN PICK DISEASE QUANTITATIVE,"52,270","52,270","52,270","52,270","52,270","52,270","52,270"
107,Investigations,BioChemistry,(AHLL) NITROBLUE TETRAZOLOIUM REDUCTION (NBT),"2,040","2,040","2,040","2,040","2,040","2,040","2,040"
108,Investigations,BioChemistry,(AHLL) DRUG TEST - OPIATES/MORPHINE,950,950,950,950,950,950,950
109,Investigations,BioChemistry,(AHLL) ORGANIC ACID QUANTITATIVE- URINE RANDOM,"7,080","7,080","7,080","7,080","7,080","7,080","7,080"
110,Investigations,BioChemistry,(AHLL) OROTIC ACID(URINE),"4,210","4,210","4,210","4,210","4,210","4,210","4,210"
111,Investigations,BioChemistry,(AHLL) DRUG TEST - PHENCYCLIDINE,890,890,890,890,890,890,890
112,Investigations,BioChemistry,(AHLL) NEONATAL SCREENING (PHENYLALANINE),460,460,460,460,460,460,460
113,Investigations,BioChemistry,"(AHLL) PORPHYRINS TOTAL, QUALITATIVE","7,180","7,180","7,180","7,180","7,180","7,180","7,180"
114,Investigations,BioChemistry,(AHLL) RBC FOLATE,"4,390","4,390","4,390","4,390","4,390","4,390","4,390"
115,Investigations,BioChemistry,(AHLL) RENIN DIRECT,"4,320","4,320","4,320","4,320","4,320","4,320","4,320"
116,Investigations,BioChemistry,(AHLL) BILE ACIDS - SERUM,"2,610","2,610","2,610","2,610","2,610","2,610","2,610"
117,Investigations,BioChemistry,(AHLL) SICKLE CELL VARIANT,"6,820","6,820","6,820","6,820","6,820","6,820","6,820"
118,Investigations,BioChemistry,(AHLL) SPINAL MUSCULAR ATROPHY (SMA) MUTATION DETECTION,"7,990","7,990","7,990","7,990","7,990","7,990","7,990"
119,Investigations,BioChemistry,(AHLL) FECAL ELASTASE,"13,370","13,370","13,370","13,370","13,370","13,370","13,370"
120,Investigations,BioChemistry,(AHLL) TACROLIMUS LEVEL,"4,940","4,940","4,940","4,940","4,940","4,940","4,940"
121,Investigations,BioChemistry,(AHLL) NEONATAL SCREENING (TOTAL GALACTOSE),460,460,460,460,460,460,460
122,Investigations,BioChemistry,(AHLL) TROPONIN I- QUALITATIVE,"1,820","1,820","1,820","1,820","1,820","1,820","1,820"
123,Investigations,BioChemistry,(AHLL) TSH RECEPTOR ANTIBODIES,"3,990","3,990","3,990","3,990","3,990","3,990","3,990"
124,Investigations,BioChemistry,(AHLL) FREE LIGHT CHAINS (KAPPA AND LAMBDA) - URINE,"6,050","6,050","6,050","6,050","6,050","6,050","6,050"
125,Investigations,BioChemistry,(AHLL) URINARY OXALATE,"2,200","2,200","2,200","2,200","2,200","2,200","2,200"
126,Investigations,BioChemistry,"(AHLL) VITAMIN D (1,25 DIHYDROXY CHOLECALCIFEROL)","3,420","3,420","3,420","3,420","3,420","3,420","3,420"
127,Investigations,BioChemistry,"(AHLL) ZINC, 24 HR URINE","2,330","2,330","2,330","2,330","2,330","2,330","2,330"
128,Investigations,BioChemistry,(AHLL) ZINC - SERUM,"2,000","2,000","2,000","2,000","2,000","2,000","2,000"
129,Investigations,BioChemistry,11 CONDITIONS HEEL PRICK (BABYSHILD),"2,530","2,530","2,530","2,530","2,530","2,530","2,530"
130,Investigations,BioChemistry,(AHLL) ONCOMINE BRCA1 AND BRCA2 ASSAY (GERMLINE),"51,480","51,480","51,480","51,480","51,480","51,480","51,480"
131,Investigations,BioChemistry,(SRL) HCG BETA QUANTITIVE RANDOM URINE,"2,120","2,120","2,120","2,120","2,120","2,120","2,120"
132,Investigations,BioChemistry,"(AHLL) URINE OXALATE, RANDOM","2,940","2,940","2,940","2,940","2,940","2,940","2,940"
133,Investigations,BioChemistry,SAPIEN - STRAND CARDIOVASCULAR PANEL,"39,040","39,040","39,040","39,040","39,040","61,190","77,030"
134,Investigations,BioChemistry,Sapien - Datar Oncology PGx Test - Targeted Agents,"33,250","33,250","33,250","33,250","33,250","52,120","65,590"
135,Investigations,BioChemistry,Sapien - Datar Oncology PGx Test - Chemotherapeutic Drugs,"21,790","21,790","21,790","21,790","21,790","34,170","43,000"
136,Investigations,BioChemistry,Sapien - Datar Cardio- Vascular Drugs PGx Test,"24,010","24,010","24,010","24,010","24,010","37,650","47,390"
137,Investigations,BioChemistry,Sapien - Datar Anti - Diabetic Drugs PGx Test,"18,380","18,380","18,380","18,380","18,380","28,810","36,260"
138,Investigations,BioChemistry,Sapien - Datar Neuro - Psychiatry Drugs PGx Test,"23,510","23,510","23,510","23,510","23,510","36,850","46,380"
139,Investigations,BioChemistry,Sapien - Datar Anti- Viral Drugs PGx Test,"14,960","14,960","14,960","14,960","14,960","23,450","29,510"
140,Investigations,BioChemistry,Sapien - Datar Asthma Drugs PGx Test,"13,760","13,760","13,760","13,760","13,760","21,570","27,150"
141,Investigations,BioChemistry,Sapien - Datar Osteoporosis Drugs PGx Test,"19,400","19,400","19,400","19,400","19,400","30,420","38,280"
142,Investigations,BioChemistry,Sapien - Datar Immunosuppression Drugs PGx Test,"11,540","11,540","11,540","11,540","11,540","18,080","22,770"
143,Investigations,BioChemistry,Sapien - Datar Hyperuricemia Drugs PGx Test,"11,540","11,540","11,540","11,540","11,540","18,080","22,770"
144,Investigations,BioChemistry,(AHLL) METHOTREXATE-SERUM,"3,650","3,650","3,650","3,650","3,650","3,650","3,650"
145,Investigations,BioChemistry,(AHLL) ACETAMINOPHEN - SERUM,"27,610","27,610","27,610","27,610","27,610","27,610","27,610"
146,Investigations,BioChemistry,"(AHLL) FISH, DI-GEORGE SYNDROME (CHROMOSOME 22 Q DELETION)","6,840","6,840","6,840","6,840","6,840","6,840","6,840"
147,Investigations,BioChemistry,(AHLL) MERCURY,"6,230","6,230","6,230","6,230","6,230","6,230","6,230"
148,Investigations,BioChemistry,(AHLL) ANTI DIURETIC HORMONE (ADH),"7,150","7,150","7,150","7,150","7,150","7,150","7,150"
149,Investigations,BioChemistry,(AHLL) ESTRADIOL (E2),670,670,670,670,670,670,670
150,Investigations,BioChemistry,"(AHLL) MANGANESE,BLOOD","2,630","2,630","2,630","2,630","2,630","2,630","2,630"
151,Investigations,BioChemistry,(AHLL) SELENIUM - SERUM,"3,650","3,650","3,650","3,650","3,650","3,650","3,650"
152,Investigations,BioChemistry,(AHLL) VITAMIN-A,"4,440","4,440","4,440","4,440","4,440","4,440","4,440"
153,Investigations,BioChemistry,(AHLL) FREE LIGHT CHAINS (KAPPA AND LAMBDA) - SERUM,"10,730","10,730","10,730","10,730","10,730","10,730","10,730"
154,Investigations,BioChemistry,(LILAC) FIRST TRIMESTER SCREENING (ONLY BIOCHEMISTRY),"3,190","3,190","3,190","3,190","3,190","3,190","3,190"
155,Investigations,BioChemistry,"(AHLL) MATERNAL SCREENING FIRST TRIMESTER- DUAL/DOUBLE MARKER, FMF APPROVED","3,190","3,190","3,190","3,190","3,190","3,190","3,190"
156,Investigations,BioChemistry,(AHLL) MATERNAL SCREENING SECOND TRIMESTER- TRIPLE MARKER,"3,190","3,190","3,190","3,190","3,190","3,190","3,190"
157,Investigations,BioChemistry,(LILAC) SECOND TRIMESTER SCREENING (QUADRUPLE SCREENING),"3,850","3,850","3,850","3,850","3,850","3,850","3,850"
158,Investigations,BioChemistry,(AHLL) OSMOLALITY - SPOT URINE,790,790,790,790,790,790,790
159,Investigations,BioChemistry,(AHLL) OSMOLALITY -SERUM,790,790,790,790,790,790,790
160,Investigations,BioChemistry,(LILAC) QUADRUPLE TEST,"4,400","4,400","4,400","4,400","4,400","4,400","4,400"
161,Investigations,BioChemistry,(AHLL) NBS EXTENDED (TMS + NBS),"10,450","10,450","10,450","10,450","10,450","10,450","10,450"
162,Investigations,BioChemistry,(AHLL) CHROMOSOMAL MICROARRAY (CMA),"27,500","27,500","27,500","27,500","27,500","27,500","27,500"
163,Investigations,BioChemistry,"(AHLL) HIGH RESOLUTION CHROMOSOME ANALYSIS,PERIPHERAL BLOOD","6,050","6,050","6,050","6,050","6,050","6,050","6,050"
164,Investigations,BioChemistry,(BABY SHIELD) MPS TYPING,"14,300","14,300","14,300","14,300","14,300","14,300","14,300"
165,Investigations,BioChemistry,(AHLL) BETA THALASSEMIA (23 MUTATIONS),"18,480","18,480","18,480","18,480","18,480","18,480","18,480"
166,Investigations,BioChemistry,(AHLL) NOR METANEPHRINES-FREE,"5,010","5,010","5,010","5,010","5,010","5,010","5,010"
167,Investigations,BioChemistry,(AHLL) VITAMIN B1,"9,080","9,080","9,080","9,080","9,080","9,080","9,080"
168,Investigations,BioChemistry,(BABYSHILD - LIFECELL) 7 CONDITIONS HEEL PRICK PLUS TMS,"2,430","2,430","2,430","2,430","2,430","2,430","2,430"
169,Investigations,BioChemistry,(AHLL) CLINICAL EXOME SEQUENCING,"33,000","33,000","33,000","33,000","33,000","33,000","33,000"
170,Investigations,BioChemistry,(AHLL) NX GEN WHOLE EXOME SEQUENCING - THERMOFISHER,"39,600","39,600","39,600","39,600","39,600","39,600","39,600"
171,Investigations,BioChemistry,(AHLL) INSULIN ANTIBODY,"3,650","3,650","3,650","3,650","3,650","3,650","3,650"
172,Investigations,BioChemistry,(BABYSHILD) CHROMOSOMAL MICROARREY (315K),"14,300","14,300","14,300","14,300","14,300","14,300","14,300"
173,Investigations,BioChemistry,(BABYSHILD) CHROMOSOMAL MICROARREY (750K),"24,310","24,310","24,310","24,310","24,310","24,310","24,310"
174,Investigations,BioChemistry,(AHLL) DUCHENNE MUSCULAR DYSTROPHY (DMD) (21 EXONS),"10,010","10,010","10,010","10,010","10,010","10,010","10,010"
175,Investigations,BioChemistry,(AHLL) SANGER SEQUENCING (1 MUTATION),"8,800","8,800","8,800","8,800","8,800","8,800","8,800"
176,Investigations,BioChemistry,(AHLL) SANGER SEQUENCING (2 MUTATIONS),"15,400","15,400","15,400","15,400","15,400","15,400","15,400"
177,Investigations,BioChemistry,(AHLL) SANGER SEQUENCING (3 MUTATIONS),"22,000","22,000","22,000","22,000","22,000","22,000","22,000"
178,Investigations,BioChemistry,(AHLL) SANGER SEQUENCING (4 MUTATIONS),"28,600","28,600","28,600","28,600","28,600","28,600","28,600"
179,Investigations,BioChemistry,(AHLL) SANGER SEQUENCING (5 MUTATIONS),"33,000","33,000","33,000","33,000","33,000","33,000","33,000"
180,Investigations,BioChemistry,(AHLL) FRAGILE X SYNDROME (FMRI GENE),"9,350","9,350","9,350","9,350","9,350","9,350","9,350"
181,Investigations,BioChemistry,(AHLL) SERUM (1-3) B-D GLUCAN,"14,300","14,300","14,300","14,300","14,300","14,300","14,300"
182,Investigations,BioChemistry,(AHLL) METANEPHRINE FREE,"8,010","8,010","8,010","8,010","8,010","8,010","8,010"
183,Investigations,BioChemistry,(LALPATH) AMYLASE ISOENZYMES - SERUM,"9,790","9,790","9,790","9,790","9,790","9,790","9,790"
184,Investigations,BioChemistry,(AHLL) DRUGS OF ABUSE - 9 DRUGS,"4,600","4,600","4,600","4,600","4,600","4,600","4,600"
185,Investigations,BioChemistry,(AHLL) ANTI-GAD ELISA (IGG) FOR TYPE 1 DIABETES MELLITUS,"6,820","6,820","6,820","6,820","6,820","6,820","6,820"
186,Investigations,BioChemistry,(AHLL) AMINO ACIDS RANDOM URINE,"16,740","16,740","16,740","16,740","16,740","16,740","16,740"
187,Investigations,BioChemistry,(AHLL) MYOSISTIS PROFILE - SERUM,"6,510","6,510","6,510","6,510","6,510","6,510","6,510"
188,Investigations,BioChemistry,(AHLL) DEHYDROEPIANDROSTERONE (DHEA),"2,970","2,970","2,970","2,970","2,970","2,970","2,970"
189,Investigations,Haematology,(AHLL) PROTEIN S,"4,470","4,470","4,470","4,470","4,470","4,470","4,470"
190,Investigations,Haematology,(AHLL) FACTOR V LEIDEN MUTATION PCR,"7,180","7,180","7,180","7,180","7,180","7,180","7,180"
191,Investigations,Haematology,(AHLL) ACUTE LEUKEMIA PANEL - COMPREHENSIVE,"17,790","17,790","17,790","17,790","17,790","17,790","17,790"
192,Investigations,Haematology,(AHLL) WARFARIN SENSITIVITY BY GENOTYPING,"13,990","13,990","13,990","13,990","13,990","13,990","13,990"
193,Investigations,Haematology,(AHLL) FISH-17P,"5,780","5,780","5,780","5,780","5,780","5,780","5,780"
194,Investigations,Haematology,(AHLL) ACUTE LEUKEMIA CMPRSE DIAG PANEL + KARYO,"19,650","19,650","19,650","19,650","19,650","19,650","19,650"
195,Investigations,Haematology,(AHLL) AML COMBO QUEST IV,"12,280","12,280","12,280","12,280","12,280","12,280","12,280"
196,Investigations,Haematology,(AHLL) APL QUEST (MRD),"10,370","10,370","10,370","10,370","10,370","10,370","10,370"
197,Investigations,Haematology,(AHLL) APL QUEST D,"8,290","8,290","8,290","8,290","8,290","8,290","8,290"
198,Investigations,Haematology,(AHLL) B CELL CLONALITY ANALYSIS FOR IGH,"6,600","6,600","6,600","6,600","6,600","6,600","6,600"
199,Investigations,Haematology,(AHLL) BCR/ABL - FISH (PHILADELPHIA),"5,480","5,480","5,480","5,480","5,480","5,480","5,480"
200,Investigations,Haematology,(AHLL) CHROMOSOMAL ANALYSIS HEMATOLOGIC DISORDERS ( LEUKEMIC BLOOD),"6,530","6,530","6,530","6,530","6,530","6,530","6,530"
