Sl. No.,Service Type,Department,Service Name,OPD Tariff
82,Investigations,BioChemistry,PROTEIN - CSF,470
83,Investigations,BioChemistry,PROTEIN TOTAL - FLUID,470
84,Investigations,BioChemistry,POTASSIUM - SPOT URINE,610
85,Investigations,BioChemistry,PROLACTIN - SERUM,"2,920"
86,Investigations,BioChemistry,PROGESTERONE - SERUM,"1,760"
87,Investigations,BioChemistry,PROTEIN TOTAL - 24 HRS URINE,720
88,Investigations,BioChemistry,PROTEIN TOTAL - ASCITIC / PERITONEAL FLUID,470
89,Investigations,BioChemistry,TOTAL T3: TRI IODOTHYRONINE - SERUM,"1,300"
90,Investigations,BioChemistry,PROTEIN TOTAL - PLEURAL FLUID,470
91,Investigations,BioChemistry,PROTEIN TOTAL - SERUM,610
92,Investigations,BioChemistry,PROTEIN TOTAL - SPOT URINE,610
93,Investigations,BioChemistry,PROTEIN TOTAL - SYNOVIAL FLUID,470
94,Investigations,BioChemistry,SODIUM - 24 HRS URINE,330
95,Investigations,BioChemistry,SODIUM - SERUM,830
96,Investigations,BioChemistry,SODIUM - SPOT URINE,610
97,Investigations,BioChemistry,TOTAL T4: THYROXINE - SERUM,"1,630"
98,Investigations,BioChemistry,TESTOSTERONE - SERUM,"2,090"
99,Investigations,BioChemistry,THYROGLOBULIN - SERUM,"2,670"
100,Investigations,BioChemistry,TRIGLYCERIDES - SERUM,940
101,Investigations,BioChemistry,URIC ACID - SPOT URINE,550
102,Investigations,BioChemistry,HS-TROPONIN I (HIGH SENSITIVITY TROPONIN-I),"2,200"
103,Investigations,BioChemistry,"TROPONIN T, QUANTITATIVE - SERUM","1,740"
104,Investigations,BioChemistry,TSH: THYROID STIMULATING HORMONE - SERUM,"1,760"
105,Investigations,BioChemistry,UREA - 24 HRS URINE,330
106,Investigations,BioChemistry,UREA - SERUM,610
107,Investigations,BioChemistry,UREA - SPOT URINE,610
108,Investigations,BioChemistry,URIC ACID - SERUM,470
109,Investigations,BioChemistry,VALPROIC ACID - SERUM,"2,310"
110,Investigations,BioChemistry,VITAMIN B12 -SERUM,"2,670"
111,Investigations,BioChemistry,FOLATE - SERUM,"2,780"
112,Investigations,BioChemistry,"VMA(VANILLYL MANDELIC ACID),QUANTITATIVE - 24 HR URINE","5,780"
113,Investigations,BioChemistry,VLDL CHOLESTEROL - SERUM,770
114,Investigations,BioChemistry,ANTI - THYROID ANTIBODIES,"2,200"
115,Investigations,BioChemistry,IRON AND IRON BINDING CAPACITY- SERUM,"1,050"
116,Investigations,BioChemistry,TACROLIMUS - WHOLE BLOOD,"5,340"
117,Investigations,BioChemistry,PROSTATIC SPECIFIC ANTIGEN (PSA TOTAL) - SERUM,"2,090"
118,Investigations,BioChemistry,NT-PRO BNP(N-TERMINAL PRO BRAIN NATRIURETIC PEPTIDE)-SERUM,"3,030"
119,Investigations,BioChemistry,BETA - 2 MICROGLOBULIN - SERUM,"2,200"
120,Investigations,BioChemistry,C - PEPTIDE - SERUM,"1,630"
121,Investigations,BioChemistry,FREE TESTOSTERONE - SERUM,"2,670"
122,Investigations,BioChemistry,FREE T3 - SERUM,"1,300"
123,Investigations,BioChemistry,HUMAN SEX HORMONE -BINDING GLOBULIN(SHBG)-SERUM,"4,980"
124,Investigations,BioChemistry,PAPP-A,"2,810"
125,Investigations,BioChemistry,POTASSIUM - SWEAT,660
126,Investigations,BioChemistry,SODIUM - SWEAT,660
127,Investigations,BioChemistry,PERITONEAL DIALYSIS FLUID FOR SUGAR,550
128,Investigations,BioChemistry,APO LIPOPROTEIN A1 - SERUM,"1,300"
129,Investigations,BioChemistry,APO LIPOPROTEIN B - SERUM,"1,410"
130,Investigations,BioChemistry,TRANSFERIN SATURATION - SERUM,830
131,Investigations,BioChemistry,C - PEPTIDE (FASTING) - SERUM,"1,520"
132,Investigations,BioChemistry,C - PEPTIDE (PP) - SERUM,"1,300"
133,Investigations,BioChemistry,EPTOIN/PHENYTOIN - SERUM,"1,870"
134,Investigations,BioChemistry,LACTATE - CSF,"1,300"
135,Investigations,BioChemistry,CORTISOL - SERUM (AM),"1,980"
136,Investigations,BioChemistry,CYCLOSPORINE LEVEL - WHOLE BLOOD,"4,240"
137,Investigations,BioChemistry,INSULIN (FASTING) - SERUM,"1,630"
138,Investigations,BioChemistry,INSULIN (PP) - SERUM,"1,630"
139,Investigations,BioChemistry,PARATHYROID HORMONE [PTH] - SERUM,"4,290"
140,Investigations,BioChemistry,BLOOD GAS ANALYSIS (ABG),940
141,Investigations,BioChemistry,ADRENO CORTICO TROPHIC HORMONE - ACTH - PLASMA,"2,560"
142,Investigations,BioChemistry,LIPASE - URINE,"1,050"
143,Investigations,BioChemistry,BUN (BLOOD UREA NITROGEN),610
144,Investigations,BioChemistry,CYST FLUID FOR ANALYSIS,"1,430"
145,Investigations,BioChemistry,LIPASE - FLUID,610
146,Investigations,BioChemistry,CORTISOL - SERUM (PM),"1,980"
147,Investigations,BioChemistry,VITAMIN D (25-HYDROXY),"2,450"
148,Investigations,BioChemistry,TOTAL PROTEIN AG - RATIO,830
149,Investigations,BioChemistry,5 HIAA QUANTITATIVE (24 HRS. URINE),"4,180"
150,Investigations,BioChemistry,BICARBONATE - SERUM,"1,410"
151,Investigations,BioChemistry,MAU (MICROALBUMIN) - SPOT URINE,"1,870"
152,Investigations,BioChemistry,BILIRUBIN SERUM - TOTAL/DIRECT,830
153,Investigations,BioChemistry,ANTI THYROGLOBULIN - SERUM,"2,560"
154,Investigations,BioChemistry,SERUM FREE BETA hCG,"2,810"
155,Investigations,BioChemistry,LITHIUM LEVEL - SERUM,"2,310"
156,Investigations,BioChemistry,ANTI TPO,"3,720"
157,Investigations,BioChemistry,PLEURAL FLUID FOR SUGAR,470
158,Investigations,BioChemistry,FREE ANDROGEN INDEX,"3,940"
159,Investigations,BioChemistry,CAPD FLUID FOR BUN,470
160,Investigations,BioChemistry,PERITONEAL DIALYSIS FLUID FOR CREATININE,470
161,Investigations,BioChemistry,INTACT PTH,"3,030"
162,Investigations,BioChemistry,FLUID FOR CREATININE,550
163,Investigations,BioChemistry,CAPD FLUID FOR CREATININE,660
164,Investigations,BioChemistry,CAPD FLUID FOR SUGAR,470
165,Investigations,BioChemistry,CAPD FLUID FOR UREA,470
166,Investigations,BioChemistry,FLUID FOR CA 19.9,"2,780"
167,Investigations,BioChemistry,FLUID FOR CA-125,"2,780"
168,Investigations,BioChemistry,FLUID FOR CEA,"1,980"
169,Investigations,BioChemistry,PERICARDIAL FLUID FOR ALBUMIN,550
170,Investigations,BioChemistry,PERICARDIAL FLUID FOR CHLORIDE,470
171,Investigations,BioChemistry,PERICARDIAL FLUID FOR LDH,800
172,Investigations,BioChemistry,PERITONEAL FLUID FOR BUN,550
173,Investigations,BioChemistry,SERUM CORTISOL (RANDOM),"1,870"
174,Investigations,BioChemistry,NON PROTEIN NITROGEN-SERUM,470
175,Investigations,BioChemistry,ABG WITH COOXIMETRY,"1,540"
176,Investigations,BioChemistry,ABG WITH LACTATES,"1,540"
177,Investigations,BioChemistry,ANTIPHOSPOLIPID ANTIBODY IGG AND IGM,"2,780"
178,Investigations,BioChemistry,ESTIMATED GLOMERULAR FITTRATION RATE(eGFR),940
179,Investigations,BioChemistry,CSF PROTEIN ELECTROPHERISIS,"1,870"
180,Investigations,BioChemistry,LDH ISOENZYMES,"2,070"
181,Investigations,BioChemistry,NEWBORN SCREENING URINE EXTENDED(PREVENTINE),"10,070"
182,Investigations,BioChemistry,NEWBORN SCREENING URINE ROUTINE(PREVENTINE),"4,160"
183,Investigations,BioChemistry,ADENOSINE DEAMINASE,"1,300"
184,Investigations,BioChemistry,ROMA(RISK OF OVARION MALIGNENCY ALGORITHM),"5,560"
185,Investigations,BioChemistry,CORTISOL - SERUM(30min),"1,870"
186,Investigations,BioChemistry,CORTISOL - SERUM(60min),"1,870"
187,Investigations,BioChemistry,BLOOD UREA AND CREATININE SERUM,880
188,Investigations,BioChemistry,BMT DRUG LEVEL,"1,540"
189,Investigations,BioChemistry,SIROLIMUS LEVEL,"6,160"
190,Investigations,BioChemistry,CONTINUOUS GLUCOSE MONITORING - CGMD,"6,380"
191,Investigations,BioChemistry,ANTI MULLERIAN HORMONE (AMH) SERUM,"3,030"
192,Investigations,BioChemistry,EVEROLIMUS DRUG LEVEL WHOLE BLOOD,"12,270"
193,Investigations,BioChemistry,URINE MICROALBUMIN (24 HRS),"1,980"
194,Investigations,BioChemistry,URINE PROTEIN CREATININE RATIO,"1,300"
195,Investigations,BioChemistry,URIC ACID 24 HRS URINE,720
196,Investigations,BioChemistry,CORRECTED SERUM CALCIUM,"1,760"
197,Investigations,BioChemistry,ALBUMIN - PLEURAL FLUID,610
198,Investigations,BioChemistry,ALBUMIN - FLUID,610
199,Investigations,BioChemistry,VENOUS BLOOD GAS (VBG),"1,870"
200,Investigations,BioChemistry,SERUM CORTISOL LEVEL (MICS),-
201,Investigations,BioChemistry,HS - CRP (HIGH SENSITIVE CRP) - SERUM,-
202,Investigations,BioChemistry,HBA1C - BLOOD,-
203,Investigations,BioChemistry,BNP - PLASMA,-
204,Investigations,BioChemistry,LDL/HDL RATIO,"2,750"
205,Investigations,BioChemistry,VLDL/HDL RATIO,"3,580"
206,Investigations,BioChemistry,HDL/LDL RATIO,"2,750"
207,Investigations,BioChemistry,BUN/CREATININE RATIO,"1,410"
208,Investigations,BioChemistry,IL6 TEST,"4,070"
209,Investigations,BioChemistry,HE4 SERUM,"3,520"
210,Investigations,BioChemistry,AMYLASE - URINE,"1,320"
211,Investigations,BioChemistry,AMYLASE CREATININE CLEARANCE RATIO,"2,970"
212,Investigations,BioChemistry,SCREENING FOR DRUG OF ABUSE (6 DRUGS) - URINE,"1,320"
213,Investigations,BioChemistry,SERUM FREE LIGHT CHAIN ASSAY,"7,150"
214,Investigations,Haematology,ABSOLUTE EOSINOPHIL COUNT,420
215,Investigations,Haematology,ABSOLUTE LYMPHOCYTE COUNT (ALC),390
216,Investigations,Haematology,ABSOLUTE NEUTROPHIL COUNT,360
217,Investigations,Haematology,ACTIVATED PARTIAL THROMBOPLASTIN TIME,830
218,Investigations,Haematology,BLEEDING TIME (BT),360
219,Investigations,Haematology,BONE MARROW SMEAR FOR OPINION,830
220,Investigations,Haematology,BONE MARROW ASPIRATION CYTOLOGY [BMA],"1,520"
221,Investigations,Haematology,CLOT RETRACTION,390
222,Investigations,Haematology,G6 PD ASSAY (MANUAL- SPECTROPHOTOMETRY),"1,630"
223,Investigations,Haematology,ERYTHROCYTE SEDIMENTATION RATE (ESR),420
224,Investigations,Haematology,FACTOR VIII C ASSAY,"6,710"
225,Investigations,Haematology,FLUID CELL COUNT -ASCITIC,660
226,Investigations,Haematology,HEMOGLOBIN (AUTOMATION),420
227,Investigations,Haematology,STOOL FOR REDUCING SUBSTANCES,420
228,Investigations,Haematology,COMPLETE HAEMOGRAM,"1,050"
229,Investigations,Haematology,D-DIMER,"3,250"
230,Investigations,Haematology,FLUID CELL TYPE AND CELL COUNT - SYNOVIAL,830
231,Investigations,Haematology,FLUID CELL COUNT AND CELL TYPE - PLEURAL,830
232,Investigations,Haematology,LE TEST [CELLS],530
233,Investigations,Haematology,MALARIAL ANTIGEN DETECTION TEST,"1,650"
234,Investigations,Haematology,PACKED CELL VOLUME [PCV]- (Automation),420
235,Investigations,Haematology,SMEAR FOR MALARIA PARASITES,720
236,Investigations,Haematology,SMEAR FOR MICROFILARIA PARASITES,470
237,Investigations,Haematology,PERIPHERAL BLOOD SMEAR (PBS),660
238,Investigations,Haematology,PLASMA FIBRINOGEN,830
239,Investigations,Haematology,PLASMA HEMOGLOBIN,390
240,Investigations,Haematology,PLATELET COUNT,"1,050"
241,Investigations,Haematology,PROTHROMBIN TIME,720
242,Investigations,Haematology,RBC COUNT(Automation),470
243,Investigations,Haematology,RETICULOCYTE COUNT,360
244,Investigations,Haematology,SEMEN ANALYSIS,940
245,Investigations,Haematology,SICKLING TEST,610
246,Investigations,Haematology,STOOL OCCULT BLOOD,470
247,Investigations,Haematology,URINE FOR UROBILINOGEN,330
248,Investigations,Haematology,STOOL ROUTINE,470
249,Investigations,Haematology,SUCROSE LYSIS TEST,990
250,Investigations,Haematology,THROMBIN TIME,470
251,Investigations,Haematology,URINE FOR KETONES,360
252,Investigations,Haematology,URINE- BENCE JONES PROTEINS,610
253,Investigations,Haematology,URINE- BILE PIGMENT AND BILE SALT,390
254,Investigations,Haematology,URINE HEMOGLOBIN,470
255,Investigations,Haematology,URINE HEMOSIDERIN,360
256,Investigations,Haematology,URINE ROUTINE AND MICROSCOPY,360
257,Investigations,Haematology,URINE FOR CHYLE,360
258,Investigations,Haematology,Hb ELECTROPHORESIS/HPLC,"1,980"
259,Investigations,Haematology,PORPHOBILINOGEN - SPOT URINE(QUALITATIVE SCREEN),530
260,Investigations,Haematology,BONE MARROW BIOPSY,"1,540"
261,Investigations,Haematology,ACUTE MYELOID LEUKEMIA (AML) CHARACTERIZATION PANEL,"14,830"
262,Investigations,Haematology,MCV MCHC MCH,660
263,Investigations,Haematology,URINE FOR REDUCING SUBSTANCES,420
264,Investigations,Haematology,LEUCOCYTE COUNT (TC and DC),470
265,Investigations,Haematology,CBC,360
266,Investigations,Haematology,NASAL SMEAR FOR EOSINOPHILS,330
267,Investigations,Haematology,URINE FOR MYOGLOBIN,280
268,Investigations,Haematology,WBC COUNT (TC and DC),420
269,Investigations,Haematology,CD4 AND CD8,"2,560"
270,Investigations,Haematology,CLPD PANEL(CHRONIC LYMPHO PROFILERATIVE DISOREDER PANEL),"21,950"
271,Investigations,Haematology,ACUTE LEUKEMIA PANEL(COMPREHENSIVE),"20,000"
272,Investigations,Haematology,ANY SINGLE(CD) MARKER,"2,150"
273,Investigations,Haematology,"STOOL FOR OVA,PARASITE,CYST",420
274,Investigations,Haematology,HEINZ BODY TEST,310
275,Investigations,Haematology,B A L FLUID FOR CELL TYPE CELL COUNT,830
276,Investigations,Haematology,BASOPHILIC STIPPLING,470
277,Investigations,Haematology,BONE MARROW [PERLS STAIN],"1,710"
278,Investigations,Haematology,CAPD FLUID FOR CELL TYPE AND CELL COUNTS,830
279,Investigations,Haematology,PERITONEAL DIALYSIS FLUID CELL COUNT,830
280,Investigations,Haematology,SPUTUM FOR EOSINOPHILS,390
281,Investigations,Haematology,RED CELL OSMOTIC FRAGILITY WITH INCUBATION,"1,050"
282,Investigations,Haematology,ALL PANEL BY FLOW CYTOMETRY,"15,870"
283,Investigations,Haematology,CD 34/ HSC COUNT(HEMOPOETIC STEM CELL COUNT),"2,200"
284,Investigations,Haematology,URINE SUGAR - POST PRANDIAL (QUALITATIVE),280
285,Investigations,Haematology,FLUID CELL TYPE AND CELL COUNT,940
286,Investigations,Haematology,"IMMUNE DEFICIENCY PANNEL - II, (CD3, CD4, CD8)","4,820"
287,Investigations,Haematology,URINE SPECIFIC GRAVITY,170
288,Investigations,Haematology,"PACKED CELL VOLUME, BODY FLUIDS, PCV",390
289,Investigations,Haematology,MULTIPLE MYELOMA PANEL BY FLOW CYTOMETRY,"7,650"
290,Investigations,Haematology,MIXING STUDY PT,"1,410"
291,Investigations,Haematology,MIXING STUDY- PTT,"1,410"
292,Investigations,Haematology,FLUID FOR CELL COUNT AND TYPE - DRAINAGE TUBE,800
293,Investigations,Haematology,PNH BY FLOW CYTOMETRY,"3,850"
294,Investigations,Haematology,ASCITIC FLUID FOR CELL TYPE CELL COUNT,830
295,Investigations,Haematology,CD2 ABSOLUTE COUNT,"4,820"
296,Investigations,Haematology,COMBO QUEST II FOR AML,"26,430"
297,Investigations,Haematology,COMPLETE BLOOD PICTURE [CBP],470
298,Investigations,Haematology,CSF FOR CELL TYPE CELL COUNT,830
299,Investigations,Haematology,DC AND MP,330
300,Investigations,Haematology,FILARIA ANTIGEN,770
301,Investigations,Haematology,FLOW CYTOMERTY SINGLE PROTOCOL,"2,200"
302,Investigations,Haematology,FLUID FOR BILE SALT BILE PIGMENT,390
303,Investigations,Haematology,FLUID FOR EOSINOPHIL COUNT,390
304,Investigations,Haematology,FLUID FOR HEAMOGLOBIN,420
305,Investigations,Haematology,FLUID FROM CYST FOR CELL TYPE CELL COUNT,800
306,Investigations,Haematology,URINE SUGAR- FASTING(QUALITATIVE),280
307,Investigations,Haematology,"HB,TC,DC",610
308,Investigations,Haematology,STOOL FOR FAT DROPLETS,420
309,Investigations,Haematology,URINE DIPSTICK TEST,"1,160"
310,Investigations,Haematology,URINE SUGAR -RANDOM(QUALITATIVE),360
311,Investigations,Haematology,WBC COUNT [TOTAL],470
312,Investigations,Haematology,"TC,DC",550
313,Investigations,Haematology,PERIPHERAL BLOOD SMEAR FOR SCHISTOCYTES,610
314,Investigations,Haematology,PERIPHERAL BLOOD SMEAR FOR ACANTHOCYTES,610
315,Investigations,Haematology,FRAGILE X DECET AND KARYO OF PERI BLD CELL(),"11,830"
316,Investigations,Haematology,STEM CELL COUNT,"2,560"
317,Investigations,Haematology,TREG PANEL,"1,540"
318,Investigations,Haematology,IMMUNOHISTOCHEMISTRY/PER SLIDE (HAEMATOLOGY),"2,780"
319,Investigations,Haematology,IHC PANEL(HAEMATOLOGY),"12,960"
320,Investigations,Haematology,BONE MARROW BIOPSY FOR OPINION,"1,870"
321,Investigations,Haematology,APOLLO MYCARDIO GENETIC TEST,"3,470"
322,Investigations,Haematology,BCR/ABL WITH IS RATIO (ONCQUEST),"11,000"
323,Investigations,Haematology,MULTIPLE MYELOMA COMPREHENSIVE - FISH,"18,040"
324,Investigations,Haematology,AML COMBOQUEST 5 (NPM1 MUTATION FLT3 MUTATION CEBPA MUTATION),"11,550"
325,Investigations,Haematology,TRANSLOCATION (11 OF 14) BY FISH,"5,230"
326,Investigations,Haematology,FACTOR IX ASSAY,"4,510"
327,Investigations,Haematology,EMA DYEBINDING TEST,"3,030"
328,Investigations,Haematology,EXTENDED IHC PACKAGE (12 ANTIGEN) FOR HAEMATOLOGY,"19,420"
329,Investigations,Haematology,COMPLETE BLOOD PICTURE (CBP) FOR LEUKEMIA,440
330,Investigations,Microbiology,MANTOUX TEST,610
331,Investigations,Microbiology,RUBELLA IGG ANTIBODIES,"1,630"
332,Investigations,Microbiology,TOXOPLASMA IGG ANTIBODIES,"1,160"
333,Investigations,Microbiology,ACID FAST STAIN [CSF],830
334,Investigations,Microbiology,AFB CULTURE [URETHRAL SWAB](Bact Alert 3D),"1,980"
335,Investigations,Microbiology,AFB CULTURE [SPUTUM](Bact Alert 3D),"2,090"
336,Investigations,Microbiology,AFB CULTURE [STOOL](Bact Alert 3D),"1,980"
337,Investigations,Microbiology,"AFB CULTURE TIPS [CATH,SUC,TRACL ET](Bact Alert 3D)","1,980"
338,Investigations,Microbiology,HBe(e ANTIGEN),"2,090"
339,Investigations,Microbiology,CRYPTOCOCCUS ANTIGEN,"4,290"
340,Investigations,Microbiology,AFB CULTURE [URINE](Bact Alert 3D),"2,090"
341,Investigations,Microbiology,ACID FAST STAIN OTHERS,830
342,Investigations,Microbiology,ACID FAST STAIN [TIP],770
343,Investigations,Microbiology,ACID FAST STAIN [PUS],830
344,Investigations,Microbiology,ACID FAST STAIN [URINE],830
345,Investigations,Microbiology,ACID FAST STAIN [BAL],830
346,Investigations,Microbiology,AFB CULTURE [OTHERS] (Bact Alert 3D),"2,090"
347,Investigations,Microbiology,ACID FAST STAIN [SPUTUM],830
348,Investigations,Microbiology,ACID FAST STAIN [BODY FLUID],770
349,Investigations,Microbiology,ANAEROBIC CULTURE AND SENSITIVITY [BODY FLUIDS],"1,160"
350,Investigations,Microbiology,ANAEROBIC CULTURE AND SENSITIVITY [OTHERS],"1,300"
351,Investigations,Microbiology,ANTI - HBe (e ANTIBODY),"2,670"
352,Investigations,Microbiology,HAV-IGM,"2,920"
353,Investigations,Microbiology,ANTI HBc IgM,"2,560"
354,Investigations,Microbiology,ANTI HCV CMIA,"1,410"
355,Investigations,Microbiology,ASO TITRE,"1,410"
356,Investigations,Microbiology,COMPLEMENT LEVEL - C3,"1,980"
357,Investigations,Microbiology,COMPLEMENT LEVEL C4,"1,410"
358,Investigations,Microbiology,C-REACTIVE PROTEIN (CRP),"1,050"
359,Investigations,Microbiology,CULTURE AND SENSITIVITY [URINE],"1,050"
360,Investigations,Microbiology,ANAEROBIC CULTURE AND SENSITIVITY [CSF],"1,160"
361,Investigations,Microbiology,ANAEROBIC CULTURE AND SENSITIVITY [PUS],"1,300"
362,Investigations,Microbiology,ANAEROBIC CULTURE AND SENSITIVITY [VAGINAL SWAB],"1,160"
363,Investigations,Microbiology,LEPTOSPIRA IGM ANTIBODIES,"2,670"
364,Investigations,Microbiology,CULTURE AND SENSITIVITY [BLOOD],"1,870"
365,Investigations,Microbiology,CULTURE AND SENSITIVITY [C S F],"1,160"
366,Investigations,Microbiology,CULTURE AND SENSITIVITY [RECTAL SWAB],800
367,Investigations,Microbiology,CULTURE AND SENSITIVITY [SPUTUM],"1,050"
368,Investigations,Microbiology,CULTURE AND SENSITIVITY [THROAT SWAB],940
369,Investigations,Microbiology,CULTURE AND SENSITIVITY [WOUND SWAB],"1,050"
370,Investigations,Microbiology,CULTURE AND SENSITIVITY [FLUIDS],830
371,Investigations,Microbiology,GRAM STAIN [SPUTUM],360
372,Investigations,Microbiology,GRAM STAIN [CSF],470
373,Investigations,Microbiology,GRAM STAIN [OTHERS],470
374,Investigations,Microbiology,GRAM STAIN [TIP],440
375,Investigations,Microbiology,GRAM STAIN [ BODY FLUID],440
376,Investigations,Microbiology,GRAM STAIN [PUS],470
377,Investigations,Microbiology,CULTURE AND SENSITIVITY [EYE SWAB],990
378,Investigations,Microbiology,GRAM STAIN [BLOOD],440
379,Investigations,Microbiology,GRAM STAIN [STOOL],440
