Sl No.,Service Type,Department,Service Name,Standard,Semi Private,Private,Private Deluxe,Deluxe,Suite,Maharaja Suite
167,Investigations,BioChemistry,FLUID FOR CA-125,"4,540","4,540","4,540","5,230","6,020","7,260","8,120"
168,Investigations,BioChemistry,FLUID FOR CEA,"3,220","3,220","3,220","3,710","4,270","5,170","5,780"
169,Investigations,BioChemistry,PERICARDIAL FLUID FOR ALBUMIN,910,910,910,"1,060","1,220","1,450","1,630"
170,Investigations,BioChemistry,PERICARDIAL FLUID FOR CHLORIDE,740,750,750,860,990,"1,220","1,350"
171,Investigations,BioChemistry,PERICARDIAL FLUID FOR LDH,"1,320","1,320","1,320","1,520","1,750","2,110","2,350"
172,Investigations,BioChemistry,PERITONEAL FLUID FOR BUN,880,880,880,"1,010","1,170","1,390","1,560"
173,Investigations,BioChemistry,SERUM CORTISOL (RANDOM),"3,050","3,060","3,060","3,510","4,040","4,910","5,480"
174,Investigations,BioChemistry,NON PROTEIN NITROGEN-SERUM,770,770,770,890,"1,020","1,180","1,310"
175,Investigations,BioChemistry,ABG WITH COOXIMETRY,"2,310","2,310","2,310","2,660","3,070","3,610","4,020"
176,Investigations,BioChemistry,ABG WITH LACTATES,"2,310","2,310","2,310","2,660","3,070","3,610","4,020"
177,Investigations,BioChemistry,ANTIPHOSPOLIPID ANTIBODY IGG AND IGM,"4,590","4,600","4,600","5,280","6,070","7,160","7,960"
178,Investigations,BioChemistry,ESTIMATED GLOMERULAR FITTRATION RATE(eGFR),"1,570","1,570","1,570","1,800","2,070","2,460","2,740"
179,Investigations,BioChemistry,CSF PROTEIN ELECTROPHERISIS,"3,080","3,080","3,080","3,540","4,070","4,800","5,320"
180,Investigations,BioChemistry,LDH ISOENZYMES,"3,380","3,390","3,390","3,890","4,480","5,290","5,890"
181,Investigations,BioChemistry,NEWBORN SCREENING URINE EXTENDED(PREVENTINE),"12,620","12,630","12,630","14,530","16,710","17,770","19,730"
182,Investigations,BioChemistry,NEWBORN SCREENING URINE ROUTINE(PREVENTINE),"5,230","5,230","5,230","6,020","6,920","7,350","8,160"
183,Investigations,BioChemistry,ADENOSINE DEAMINASE,"2,120","2,120","2,120","2,430","2,810","3,010","3,340"
184,Investigations,BioChemistry,ROMA(RISK OF OVARION MALIGNENCY ALGORITHM),"8,220","8,230","8,230","9,470","10,890","13,060","15,420"
185,Investigations,BioChemistry,CORTISOL - SERUM(30min),"3,030","3,030","3,030","3,480","4,000","4,750","5,280"
186,Investigations,BioChemistry,CORTISOL - SERUM(60min),"3,030","3,030","3,030","3,480","4,000","4,750","5,280"
187,Investigations,BioChemistry,BLOOD UREA AND CREATININE SERUM,"1,710","1,710","1,710","1,960","2,260","2,440","2,710"
188,Investigations,BioChemistry,BMT DRUG LEVEL,"1,950","1,960","1,960","2,240","2,590","2,760","3,070"
189,Investigations,BioChemistry,SIROLIMUS LEVEL,"9,680","9,680","9,680","11,130","12,800","15,140","16,820"
190,Investigations,BioChemistry,CONTINUOUS GLUCOSE MONITORING - CGMD,"10,400","10,400","10,400","11,960","13,750","16,280","20,490"
191,Investigations,BioChemistry,ANTI MULLERIAN HORMONE (AMH) SERUM,"4,920","4,930","4,930","5,670","6,510","7,700","9,690"
192,Investigations,BioChemistry,EVEROLIMUS DRUG LEVEL WHOLE BLOOD,"19,990","20,000","20,000","23,000","26,460","31,340","39,450"
193,Investigations,BioChemistry,URINE MICROALBUMIN (24 HRS),"3,250","3,250","3,250","3,730","4,290","5,100","5,680"
194,Investigations,BioChemistry,URINE PROTEIN CREATININE RATIO,"1,980","1,980","1,980","2,280","2,630","3,110","3,920"
195,Investigations,BioChemistry,URIC ACID 24 HRS URINE,"1,100","1,100","1,100","1,270","1,450","1,720","2,160"
196,Investigations,BioChemistry,CORRECTED SERUM CALCIUM,"2,720","2,730","2,730","3,140","3,600","4,260","5,350"
197,Investigations,BioChemistry,ALBUMIN - PLEURAL FLUID,940,940,940,"1,080","1,240","1,450","1,830"
198,Investigations,BioChemistry,ALBUMIN - FLUID,940,940,940,"1,080","1,240","1,450","1,830"
199,Investigations,BioChemistry,VENOUS BLOOD GAS (VBG),"2,970","2,970","2,970","3,410","3,930","4,640","5,850"
200,Investigations,BioChemistry,SERUM CORTISOL LEVEL (MICS),,,,,,,
201,Investigations,BioChemistry,HS - CRP (HIGH SENSITIVE CRP) - SERUM,,,,,,,
202,Investigations,BioChemistry,HBA1C - BLOOD,,,,,,,
203,Investigations,BioChemistry,BNP - PLASMA,,,,,,,
204,Investigations,BioChemistry,LDL/HDL RATIO,"6,000","6,000","6,000","6,900","7,930","8,430","9,370"
205,Investigations,BioChemistry,VLDL/HDL RATIO,"7,590","7,590","7,590","8,720","10,030","10,710","11,920"
206,Investigations,BioChemistry,HDL/LDL RATIO,"6,000","6,000","6,000","6,900","7,930","8,430","9,370"
207,Investigations,BioChemistry,BUN/CREATININE RATIO,"2,480","2,480","2,480","2,850","3,280","3,610","4,000"
208,Investigations,BioChemistry,IL6 TEST,"6,000","6,000","6,000","6,900","7,930","9,410","11,840"
209,Investigations,BioChemistry,HE4 SERUM,"5,210","5,210","5,210","6,000","6,900","8,160","10,270"
210,Investigations,BioChemistry,AMYLASE - URINE,"1,960","1,960","1,960","2,260","2,600","3,060","3,850"
211,Investigations,BioChemistry,AMYLASE CREATININE CLEARANCE RATIO,"4,400","4,400","4,400","5,060","5,820","6,890","8,670"
212,Investigations,BioChemistry,SCREENING FOR DRUG OF ABUSE (6 DRUGS) - URINE,"1,650","1,650","1,650","1,650","1,980","2,640","3,300"
213,Investigations,BioChemistry,SERUM FREE LIGHT CHAIN ASSAY,"10,730","10,730","10,730","12,520","14,660","17,160","19,670"
214,Investigations,Haematology,ABSOLUTE EOSINOPHIL COUNT,690,690,690,800,920,"1,090","1,210"
215,Investigations,Haematology,ABSOLUTE LYMPHOCYTE COUNT (ALC),610,610,610,700,810,960,"1,070"
216,Investigations,Haematology,ABSOLUTE NEUTROPHIL COUNT,610,610,610,700,810,920,"1,030"
217,Investigations,Haematology,ACTIVATED PARTIAL THROMBOPLASTIN TIME,"1,600","1,600","1,600","1,840","2,110","2,290","2,540"
218,Investigations,Haematology,BLEEDING TIME (BT),660,660,660,760,870,"1,050","1,250"
219,Investigations,Haematology,BONE MARROW SMEAR FOR OPINION,"1,350","1,350","1,350","1,550","1,780","2,100","2,330"
220,Investigations,Haematology,BONE MARROW ASPIRATION CYTOLOGY [BMA],"2,480","2,480","2,480","2,850","3,280","3,920","4,330"
221,Investigations,Haematology,CLOT RETRACTION,610,610,610,690,790,990,"1,080"
222,Investigations,Haematology,COMPLETE HAEMOGRAM,"2,090","2,090","2,090","2,400","2,750","2,930","3,250"
223,Investigations,Haematology,D-DIMER,"5,340","5,340","5,340","6,140","7,050","8,330","9,230"
224,Investigations,Haematology,ERYTHROCYTE SEDIMENTATION RATE (ESR),630,640,640,740,850,"1,000","1,110"
225,Investigations,Haematology,FACTOR VIII C ASSAY,"11,030","11,030","11,030","12,680","14,590","17,250","19,150"
226,Investigations,Haematology,FLUID CELL TYPE AND CELL COUNT - SYNOVIAL,"1,350","1,350","1,350","1,550","1,780","2,160","2,400"
227,Investigations,Haematology,FLUID CELL COUNT AND CELL TYPE - PLEURAL,"1,350","1,350","1,350","1,550","1,780","2,160","2,400"
228,Investigations,Haematology,FLUID CELL COUNT -ASCITIC,"1,050","1,050","1,050","1,210","1,400","1,630","1,820"
229,Investigations,Haematology,G6 PD ASSAY (MANUAL- SPECTROPHOTOMETRY),"2,720","2,730","2,730","3,140","3,610","4,240","4,710"
