Sl. No.,Service Type,Department,Service Name,OPD Tariff
88,Investigations,BioChemistry,(AHLL) IMMUNOREACTIVE TRYPSINOGEN (NEONATAL SCREENING),460
89,Investigations,BioChemistry,(AHLL) INHIBIN-A,"2,120"
90,Investigations,BioChemistry,"(AHLL) CALCIUM, IONIZED","1,650"
91,Investigations,BioChemistry,(AHLL) KIDNEY/RENAL STONE ANALYSIS,"1,020"
92,Investigations,BioChemistry,(SRL) KIDNEY STONE ANALYSIS,"1,100"
93,Investigations,BioChemistry,(AHLL) KIDNEY STONE ANALYSIS,"6,420"
94,Investigations,BioChemistry,(AHLL) LDH- ISOENZYMES BY ELECTROPHORESIS,"7,630"
95,Investigations,BioChemistry,(SRL) LEAD 24HR URINE,"1,730"
96,Investigations,BioChemistry,(AHLL) MAPLE SYRUP URINE DISORDERS (NEONATAL SCREENING),460
97,Investigations,BioChemistry,(AHLL) MATERNAL SCREENING SECOND TRIMESTER- QUADRUPLE MARKER,"4,260"
98,Investigations,BioChemistry,(AHLL) METABOLIC SCREEN COMPREHENSIVE URINE,"8,840"
99,Investigations,BioChemistry,(AHLL) Metanephrine 24 hour Urine,"5,160"
100,Investigations,BioChemistry,(AHLL) DRUG TEST - METHADONE,"5,160"
101,Investigations,BioChemistry,"(AHLL) MUCOPOLYSACCHARIDOSIS MPS SCREEN,URINE RANDOM",460
102,Investigations,BioChemistry,(LALPATH) MUCOPOLYSACCHARIDOSES TYPING URINE,"4,310"
103,Investigations,BioChemistry,(AHLL) NBS Mini Panel 1,"2,830"
104,Investigations,BioChemistry,"(AHLL) NBS Panel 2 (CH, CAH)","2,010"
105,Investigations,BioChemistry,"(AHLL) NBS Panel 4 (CH, CAH, G6PD, GALT)","1,080"
106,Investigations,BioChemistry,(AHLL) NIEMANN PICK DISEASE QUANTITATIVE,"52,270"
107,Investigations,BioChemistry,(AHLL) NITROBLUE TETRAZOLOIUM REDUCTION (NBT),"1,860"
108,Investigations,BioChemistry,(AHLL) DRUG TEST - OPIATES/MORPHINE,950
109,Investigations,BioChemistry,(AHLL) ORGANIC ACID QUANTITATIVE- URINE RANDOM,"7,080"
110,Investigations,BioChemistry,(AHLL) OROTIC ACID(URINE),"3,860"
111,Investigations,BioChemistry,(AHLL) DRUG TEST - PHENCYCLIDINE,890
112,Investigations,BioChemistry,(AHLL) NEONATAL SCREENING (PHENYLALANINE),460
113,Investigations,BioChemistry,"(AHLL) PORPHYRINS TOTAL, QUALITATIVE","7,180"
114,Investigations,BioChemistry,(AHLL) RBC FOLATE,"3,190"
115,Investigations,BioChemistry,(AHLL) RENIN DIRECT,"4,320"
116,Investigations,BioChemistry,(AHLL) BILE ACIDS - SERUM,"2,370"
117,Investigations,BioChemistry,(AHLL) SICKLE CELL VARIANT,"6,820"
118,Investigations,BioChemistry,(AHLL) SPINAL MUSCULAR ATROPHY (SMA) MUTATION DETECTION,"7,990"
119,Investigations,BioChemistry,(AHLL) FECAL ELASTASE,"12,160"
120,Investigations,BioChemistry,(AHLL) TACROLIMUS LEVEL,"4,940"
121,Investigations,BioChemistry,(AHLL) NEONATAL SCREENING (TOTAL GALACTOSE),460
122,Investigations,BioChemistry,(AHLL) TROPONIN I- QUALITATIVE,"1,820"
123,Investigations,BioChemistry,(AHLL) TSH RECEPTOR ANTIBODIES,"3,990"
124,Investigations,BioChemistry,(AHLL) FREE LIGHT CHAINS (KAPPA AND LAMBDA) - URINE,"6,050"
125,Investigations,BioChemistry,(AHLL) URINARY OXALATE,"2,200"
126,Investigations,BioChemistry,"(AHLL) VITAMIN D (1,25 DIHYDROXY CHOLECALCIFEROL)","3,420"
127,Investigations,BioChemistry,"(AHLL) ZINC, 24 HR URINE","2,330"
128,Investigations,BioChemistry,(AHLL) ZINC - SERUM,"2,000"
129,Investigations,BioChemistry,11 CONDITIONS HEEL PRICK (BABYSHILD),"2,530"
130,Investigations,BioChemistry,(AHLL) ONCOMINE BRCA1 AND BRCA2 ASSAY (GERMLINE),"35,750"
131,Investigations,BioChemistry,(SRL) HCG BETA QUANTITIVE RANDOM URINE,"2,120"
132,Investigations,BioChemistry,"(AHLL) URINE OXALATE, RANDOM","2,940"
133,Investigations,BioChemistry,SAPIEN - STRAND CARDIOVASCULAR PANEL,"23,930"
134,Investigations,BioChemistry,Sapien - Datar Anti- Viral Drugs PGx Test,"9,630"
135,Investigations,BioChemistry,Sapien - Datar Oncology PGx Test - Chemotherapeutic Drugs,"14,030"
136,Investigations,BioChemistry,Sapien - Datar Anti - Diabetic Drugs PGx Test,"11,830"
137,Investigations,BioChemistry,Sapien - Datar Neuro - Psychiatry Drugs PGx Test,"15,130"
138,Investigations,BioChemistry,Sapien - Datar Oncology PGx Test - Targeted Agents,"21,400"
139,Investigations,BioChemistry,Sapien - Datar Cardio- Vascular Drugs PGx Test,"15,460"
140,Investigations,BioChemistry,Sapien - Datar Asthma Drugs PGx Test,"8,860"
141,Investigations,BioChemistry,Sapien - Datar Osteoporosis Drugs PGx Test,"12,490"
142,Investigations,BioChemistry,Sapien - Datar Immunosuppression Drugs PGx Test,"7,430"
143,Investigations,BioChemistry,Sapien - Datar Hyperuricemia Drugs PGx Test,"7,430"
144,Investigations,BioChemistry,(AHLL) METHOTREXATE-SERUM,"3,650"
145,Investigations,BioChemistry,(AHLL) ACETAMINOPHEN - SERUM,"27,610"
146,Investigations,BioChemistry,"(AHLL) FISH, DI-GEORGE SYNDROME (CHROMOSOME 22 Q DELETION)","6,840"
147,Investigations,BioChemistry,(AHLL) ANTI DIURETIC HORMONE (ADH),"7,150"
148,Investigations,BioChemistry,(AHLL) MERCURY,"6,220"
149,Investigations,BioChemistry,(AHLL) ESTRADIOL (E2),670
150,Investigations,BioChemistry,"(AHLL) MANGANESE,BLOOD","2,630"
151,Investigations,BioChemistry,(AHLL) SELENIUM - SERUM,"3,650"
152,Investigations,BioChemistry,(AHLL) VITAMIN-A,"4,440"
153,Investigations,BioChemistry,(AHLL) FREE LIGHT CHAINS (KAPPA AND LAMBDA) - SERUM,"10,730"
154,Investigations,BioChemistry,"(AHLL) MATERNAL SCREENING FIRST TRIMESTER- DUAL/DOUBLE MARKER, FMF APPROVED","3,190"
155,Investigations,BioChemistry,(AHLL) MATERNAL SCREENING SECOND TRIMESTER- TRIPLE MARKER,"3,190"
156,Investigations,BioChemistry,(LILAC) SECOND TRIMESTER SCREENING (QUADRUPLE SCREENING),"3,850"
157,Investigations,BioChemistry,(LILAC) FIRST TRIMESTER SCREENING (ONLY BIOCHEMISTRY),"3,190"
158,Investigations,BioChemistry,(AHLL) OSMOLALITY - SPOT URINE,790
159,Investigations,BioChemistry,(AHLL) OSMOLALITY -SERUM,790
160,Investigations,BioChemistry,(LILAC) QUADRUPLE TEST,"4,400"
161,Investigations,BioChemistry,"(AHLL) HIGH RESOLUTION CHROMOSOME ANALYSIS,PERIPHERAL BLOOD","6,050"
162,Investigations,BioChemistry,(AHLL) NBS EXTENDED (TMS + NBS),"10,450"
163,Investigations,BioChemistry,(AHLL) CHROMOSOMAL MICROARRAY (CMA),"27,500"
164,Investigations,BioChemistry,(BABY SHIELD) MPS TYPING,"14,300"
165,Investigations,BioChemistry,(AHLL) BETA THALASSEMIA (23 MUTATIONS),"18,480"
166,Investigations,BioChemistry,(AHLL) NOR METANEPHRINES-FREE,"5,010"
167,Investigations,BioChemistry,(AHLL) VITAMIN B1,"9,080"
168,Investigations,BioChemistry,(BABYSHILD - LIFECELL) 7 CONDITIONS HEEL PRICK PLUS TMS,"2,430"
169,Investigations,BioChemistry,(AHLL) INSULIN ANTIBODY,"3,650"
170,Investigations,BioChemistry,(AHLL) CLINICAL EXOME SEQUENCING,"33,000"
171,Investigations,BioChemistry,(AHLL) NX GEN WHOLE EXOME SEQUENCING - THERMOFISHER,"39,600"
172,Investigations,BioChemistry,(AHLL) DUCHENNE MUSCULAR DYSTROPHY (DMD) (21 EXONS),"10,010"
173,Investigations,BioChemistry,(BABYSHILD) CHROMOSOMAL MICROARREY (315K),"14,300"
174,Investigations,BioChemistry,(BABYSHILD) CHROMOSOMAL MICROARREY (750K),"24,310"
175,Investigations,BioChemistry,(AHLL) FRAGILE X SYNDROME (FMRI GENE),"9,350"
176,Investigations,BioChemistry,(AHLL) SANGER SEQUENCING (4 MUTATIONS),"28,600"
177,Investigations,BioChemistry,(AHLL) SANGER SEQUENCING (1 MUTATION),"8,800"
178,Investigations,BioChemistry,(AHLL) SANGER SEQUENCING (2 MUTATIONS),"15,400"
179,Investigations,BioChemistry,(AHLL) SANGER SEQUENCING (3 MUTATIONS),"22,000"
180,Investigations,BioChemistry,(AHLL) SANGER SEQUENCING (5 MUTATIONS),"33,000"
181,Investigations,BioChemistry,(AHLL) SERUM (1-3) B-D GLUCAN,"14,300"
182,Investigations,BioChemistry,(AHLL) METANEPHRINE FREE,"8,010"
183,Investigations,BioChemistry,(LALPATH) AMYLASE ISOENZYMES - SERUM,"9,790"
184,Investigations,BioChemistry,(AHLL) DRUGS OF ABUSE - 9 DRUGS,"4,600"
185,Investigations,BioChemistry,(AHLL) ANTI-GAD ELISA (IGG) FOR TYPE 1 DIABETES MELLITUS,"6,820"
186,Investigations,BioChemistry,(AHLL) AMINO ACIDS RANDOM URINE,"16,740"
187,Investigations,BioChemistry,(AHLL) MYOSISTIS PROFILE - SERUM,"6,510"
188,Investigations,BioChemistry,(AHLL) DEHYDROEPIANDROSTERONE (DHEA),"2,970"
189,Investigations,Haematology,(AHLL) PROTEIN S,"4,090"
190,Investigations,Haematology,(AHLL) FACTOR V LEIDEN MUTATION PCR,"6,580"
191,Investigations,Haematology,(AHLL) ACUTE LEUKEMIA PANEL - COMPREHENSIVE,"17,790"
192,Investigations,Haematology,(AHLL) WARFARIN SENSITIVITY BY GENOTYPING,"13,990"
193,Investigations,Haematology,(AHLL) APL QUEST (MRD),"10,370"
194,Investigations,Haematology,(AHLL) FISH-17P,"5,290"
195,Investigations,Haematology,(AHLL) ACUTE LEUKEMIA CMPRSE DIAG PANEL + KARYO,"18,010"
196,Investigations,Haematology,(AHLL) AML COMBO QUEST IV,"11,280"
197,Investigations,Haematology,(AHLL) APL QUEST D,"8,290"
198,Investigations,Haematology,(AHLL) B CELL CLONALITY ANALYSIS FOR IGH,"6,050"
199,Investigations,Haematology,(AHLL) BCR/ABL - FISH (PHILADELPHIA),"5,480"
200,Investigations,Haematology,(AHLL) CHROMOSOMAL ANALYSIS HEMATOLOGIC DISORDERS ( LEUKEMIC BLOOD),"6,530"
201,Investigations,Haematology,(AHLL) CHRONIC LYMPHOCYTIC LEUKEMIA ( CLL ) PANEL (FISH + KARYOTYPING),"19,360"
202,Investigations,Haematology,(DABUR) CML QUEST (D),"5,300"
203,Investigations,Haematology,(DABUR) CML QUEST (MRD),"9,080"
204,Investigations,Haematology,(DABUR) CML QUEST (MRD) BPA,"11,350"
205,Investigations,Haematology,(AHLL) IRMA (IMATINIB RESISTANCE MUTATION ANALYSIS) IN CML,"12,100"
206,Investigations,Haematology,(DABUR) CML QUEST-(D)-(BPA),"7,570"
207,Investigations,Haematology,(DABUR) COMBO QUEST I FOR AML,"10,590"
208,Investigations,Haematology,(AHLL) AML COMPREHENSIVE PANEL,"21,780"
209,Investigations,Haematology,(AHLL) CLL PANEL BY FLOW CYTOMETRY,"18,040"
210,Investigations,Haematology,(AHLL) MYELODYSPLACTIC SYNDROME ( MDS ) PANEL - FISH,"12,540"
211,Investigations,Haematology,(AHLL) FISH-DEL 13Q,"5,590"
212,Investigations,Haematology,(AHLL) FISH for 7q deletion and monosomy/numerical abnormalities of chromosome 7,"5,290"
213,Investigations,Haematology,"(AHLL) FISH, ETO/AML1, T (8 21)","5,600"
214,Investigations,Haematology,(AHLL) GLYCOPHORIN (ERYTHROID CELL MARKER),"2,060"
215,Investigations,Haematology,(AHLL) EOSINOPHILIA PANEL BY FISH ( PDGFRA PDGFRB AND FGFR1 REARRANGEMENTS),"8,810"
216,Investigations,Haematology,"(AHLL) PNH TEST ON WHITE BLOOD CELLS [ANTI-CD45, CD14, CD15, CD24 AND CD64ANTIBODIES, AND FLUOROSCENT AEROLYSIN (FLAER)]","7,470"
217,Investigations,Haematology,(AHLL) FLT3 - ITD (FETAL LIVER TYROSINE KINASE),"5,700"
218,Investigations,Haematology,(AHLL) HAIRY CELL LEUKEMIA PANEL,"6,050"
219,Investigations,Haematology,(AHLL) IGH/BCI 2T-,"5,600"
220,Investigations,Haematology,(AHLL) IgVH GENE MUTATION,"9,020"
221,Investigations,Haematology,(DABUR) INQUEST 16RT,"12,100"
222,Investigations,Haematology,(AHLL) PV Jak2 Reflex Panel,"10,730"
223,Investigations,Haematology,(AHLL) KAPPA FREE LIGHT CHAINS,"4,570"
224,Investigations,Haematology,(AHLL) FREE LAMBDA - SERUM,"2,640"
225,Investigations,Haematology,(DABUR) MCL QUEST-D IGH/CCND1 T,"5,150"
226,Investigations,Haematology,(DABUR) MDS QUEST DETECTION,"12,100"
227,Investigations,Haematology,(AHLL) MLL(11Q23)/AF4(4Q21)-T(4 11)(Q21 Q23),"7,570"
228,Investigations,Haematology,(AHLL) NPM1 (NUCLEOPHOSMIN1) GENE - AML,"4,570"
229,Investigations,Haematology,(AHLL) PML (15Q22) AND RAR?(17Q21) (T(15 17)(Q21 Q22)),"5,600"
230,Investigations,Haematology,"(AHLL) SCREENING FOR X,Y CHIMERISM POST BMT","6,050"
231,Investigations,Haematology,(AHLL) SURFACE IGM,"1,520"
232,Investigations,Haematology,(AHLL) T-CELL CLONALITY,"17,160"
233,Investigations,Haematology,(AHLL) TDT (TERMINAL DEOXYNUCLEOTIDAL TRANSFERASE) (PRECURSOR CELL MARKER),"2,400"
234,Investigations,Haematology,(AHLL) TEL (12P13)/AML1(21Q22)-T(12 21)(P13 Q22),"5,600"
235,Investigations,Haematology,(AHLL) TPMT (THIO PURINE METHYL TRANSFERASE) GENOTYPING,"9,080"
236,Investigations,Haematology,(RANBAXY) DI-GEORGE SYNDROME,"6,440"
237,Investigations,Haematology,(AHLL) UGT1A1 GENE (GILBERT'S SYNDROME),"9,080"
238,Investigations,Haematology,(AHLL) ZAP-70 ZETA CHAIN ASSOCIATED PROTEIN KINASE 70 (CLL),"3,030"
239,Investigations,Haematology,(AHLL) PROTEIN C,"5,910"
240,Investigations,Haematology,(AHLL) MTHFR - (METHYL TETRA HYDRO FOLATE REDUCTASE) GENE MUTATION (HOMOCYSTEINEMIA),"10,970"
241,Investigations,Haematology,(AHLL) THROMBOPHILIA COMPREHENSIVE PROFILE,"17,400"
242,Investigations,Haematology,(RELIANCE) MELAS MITOCHONDRIAL DISEASE,"6,050"
243,Investigations,Haematology,(AHLL) ALPHA - GLOBIN GENE MUTATION ANALYSIS ( ALPHA - THALASSEMIA),"9,650"
244,Investigations,Haematology,(AHLL) CEBPA MUTATION,"7,410"
245,Investigations,Haematology,(AHLL) (SRL) ANTI PLATELET ANTIBODY,"9,680"
246,Investigations,Haematology,(AHLL) BCR/ABL QUANTITATIVE - RT PCR (PHILADELPHIA),"6,840"
247,Investigations,Haematology,(AHLL) CYTOGENETICS: AML-1 / ETO; T(8;21) BY FISH,"25,920"
248,Investigations,Haematology,(SRL) DIL RUSSEL VIP VEN TIME,370
249,Investigations,Haematology,(AHLL) FACTOR IX,"2,420"
250,Investigations,Haematology,"(AHLL) FACTOR XIII, FUCNTIONAL, QUALITATIVE","1,440"
251,Investigations,Haematology,(AHLL) TEG TEST (KAOLIN),"1,660"
252,Investigations,Haematology,(SRL) G6PD,"1,160"
253,Investigations,Haematology,(AHLL) HEMOPHILIA PANEL,"4,240"
254,Investigations,Haematology,"(AHLL) LEUKEMIA TRANSLOCATION PANEL 1 (t(1;19) (q23;p13), Inv(16)(p13;q22),t(9;22) (q34;q11), t(4;11) (q21;q23),t(12;21) (p13;q22), t(15;17)(q22;q22), t(8;21)(q22;q22))","8,920"
255,Investigations,Haematology,"(AHLL) LEUKEMIA TRANSLOCATION PANEL 2(Inv(16)(p13;q22), t(15;17)(q22;q22), t(8;21)(q22;q22))","6,500"
256,Investigations,Haematology,(AHLL) LEUKENIA TRANSLOCATION PANEL - 3,"10,130"
257,Investigations,Haematology,"(AHLL) LEUKEMIA TRANSLOCATION PANEL 4 t(1; 19) (q23; p13), t(9; 22) (q34; q11), t(4;11)(q21; q23), t(1;11) (p32; q23), t(11;19) (q23; p13.3), t(X;11) (q13; q23)","8,020"
258,Investigations,Haematology,"(AHLL) LEUKEMIA TRANSLOCATION PANEL 5 t(9;22) (q34; q11), Dup MLL (11q23), t(11; 17) (q23; q21),","6,200"
259,Investigations,Haematology,"(AHLL) LEUKEMIA TRANSLOCATION PANEL 6 t(1; 19) (q23; p13), t(9; 22) (q34; q11), t(4;11) (q21; q23) and t(12; 21) (p13; q22),","8,020"
260,Investigations,Haematology,(AHLL) LUPUS ANTICOAGULANT BY DRVVT,"2,010"
261,Investigations,Haematology,(SRL) LUPUS ANTICOAGULANT STUDY,"2,090"
262,Investigations,Haematology,"(AHLL) LYMPHOCYTE ENUMERATION, BASIC(%CD3,%CD4,%CD8,%CD19,,ABS CD3,ABS CD4,ABS CD8,ABS CD19)","5,700"
263,Investigations,Haematology,(AHLL) METHAEMOGLOBIN ESTIMATION,"1,240"
264,Investigations,Haematology,"(AHLL) MPL (MYELOPROLIFERATIVE LEUKEMIA), GENE MUTATION","8,110"
265,Investigations,Haematology,(AHLL) BCR-abl t(9:22) (Philadelphia Chromosome),"7,030"
266,Investigations,Haematology,(AHLL) PROTEIN C ACTIVITY,"4,570"
267,Investigations,Haematology,(SRL) RISTOCETIN COFACTOR,"20,670"
268,Investigations,Haematology,(AHLL) SICKLE CELL DNA PCR,"3,520"
269,Investigations,Haematology,(AHLL) CYTOGENETICS: FANCONI ANEMIA,"8,940"
270,Investigations,Haematology,(AHLL) T-CELL GENE REARRANGEMENT,"40,950"
271,Investigations,Haematology,(AHLL) THALASSEMIA PROFILE,"1,970"
272,Investigations,Haematology,(AHLL) VON WILLEBRAND FACTOR,"17,400"
273,Investigations,Haematology,"(AHLL) HEMOCHROMATOSIS(HFE ,TFR2 ,FPN1 GENES) MUTATION ANALYSIS","43,110"
274,Investigations,Haematology,BRCA 1 AND BRCA 2 GENE MUTATION TEST (DABUR),"92,950"
275,Investigations,Haematology,(AHLL) ANTI THROMBIN III,"5,070"
276,Investigations,Haematology,COMBO QUEST II FOR AML(DABUR),"15,130"
277,Investigations,Haematology,COMBO QUEST-3 (DABUR),"9,300"
278,Investigations,Haematology,COMBO QUEST-7(DABUR),"14,090"
279,Investigations,Haematology,ALL TRANSLOCATION PANEL-DABUR,"8,660"
280,Investigations,Haematology,BRCA 1/BRCA 2(RELIANCE),"66,550"
281,Investigations,Haematology,SAPIEN - STRAND OPTHALMOLOGY PANEL,"23,930"
282,Investigations,Haematology,SAPIEN - STRAND SINGLE MUTATION CONFIRMATION,"7,100"
283,Investigations,Haematology,SAPIEN MY PLATELET (GENOTYPE AND FUNCTIONAL),"9,570"
284,Investigations,Haematology,SAPIEN - STRAND SOMATIC CANCER - FULL PANEL (48 - GENES),"47,820"
285,Investigations,Haematology,(DABUR) ACUTE LYMPHOBLASTIC LEUKEMIA PANEL(T-ALL),"11,960"
286,Investigations,Haematology,SAPIEN - DATAR CTC DETECTION,"12,430"
287,Investigations,Haematology,SAPIEN - DATAR CTC DOWNSTREAM ANALYSIS,"28,880"
288,Investigations,Haematology,Sapien myPLATELET (Functional only),"7,150"
289,Investigations,Haematology,Sapien Strand Hereditary cancer Panel,"26,730"
290,Investigations,Haematology,Sapien - Strand Somatic Cancer - Bridge,"22,440"
